Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0xC0,0x07",0xC0,0x07,TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,false,[RFC4492][RFC6347],ECDHE-ECDSA-RC4-SHA,SSLv3,ECDH,ECDSA,RC4(128),SHA1,false
"0xC0,0x08",0xC0,0x08,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,true,[RFC4492],ECDHE-ECDSA-DES-CBC3-SHA,SSLv3,ECDH,ECDSA,3DES(168),SHA1,false
"0xC0,0x09",0xC0,0x09,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,true,[RFC4492],ECDHE-ECDSA-AES128-SHA,SSLv3,ECDH,ECDSA,AES(128),SHA1,false
"0xC0,0x0A",0xC0,0x0A,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,true,[RFC4492],ECDHE-ECDSA-AES256-SHA,SSLv3,ECDH,ECDSA,AES(256),SHA1,false
"0xC0,0x0B",0xC0,0x0B,TLS_ECDH_RSA_WITH_NULL_SHA,true,[RFC4492],,,,,,,
"0xC0,0x0C",0xC0,0x0C,TLS_ECDH_RSA_WITH_RC4_128_SHA,false,[RFC4492][RFC6347],ECDH-RSA-RC4-SHA,SSLv3,ECDH/RSA,ECDH,RC4(128),SHA1,false
"0xC0,0x0D",0xC0,0x0D,TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,true,[RFC4492],ECDH-RSA-DES-CBC3-SHA,SSLv3,ECDH/RSA,ECDH,3DES(168),SHA1,false
"0xC0,0x0E",0xC0,0x0E,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,true,[RFC4492],ECDH-RSA-AES128-SHA,SSLv3,ECDH/RSA,ECDH,AES(128),SHA1,false
"0xC0,0x0F",0xC0,0x0F,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,true,[RFC4492],ECDH-RSA-AES256-SHA,SSLv3,ECDH/RSA,ECDH,AES(256),SHA1,false
"0xC0,0x10",0xC0,0x10,TLS_ECDHE_RSA_WITH_NULL_SHA,true,[RFC4492],,,,,,,
"0xC0,0x11",0xC0,0x11,TLS_ECDHE_RSA_WITH_RC4_128_SHA,false,[RFC4492][RFC6347],ECDHE-RSA-RC4-SHA,SSLv3,ECDH,RSA,RC4(128),SHA1,false
"0xC0,0x12",0xC0,0x12,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,true,[RFC4492],ECDHE-RSA-DES-CBC3-SHA,SSLv3,ECDH,RSA,3DES(168),SHA1,false
"0xC0,0x13",0xC0,0x13,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,true,[RFC4492],ECDHE-RSA-AES128-SHA,SSLv3,ECDH,RSA,AES(128),SHA1,false
"0xC0,0x14",0xC0,0x14,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,true,[RFC4492],ECDHE-RSA-AES256-SHA,SSLv3,ECDH,RSA,AES(256),SHA1,false
"0xC0,0x15",0xC0,0x15,TLS_ECDH_anon_WITH_NULL_SHA,true,[RFC4492],,,,,,,
"0xC0,0x16",0xC0,0x16,TLS_ECDH_anon_WITH_RC4_128_SHA,false,[RFC4492][RFC6347],AECDH-RC4-SHA,SSLv3,ECDH,None,RC4(128),SHA1,false
"0xC0,0x17",0xC0,0x17,TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,true,[RFC4492],AECDH-DES-CBC3-SHA,SSLv3,ECDH,None,3DES(168),SHA1,false
"0xC0,0x18",0xC0,0x18,TLS_ECDH_anon_WITH_AES_128_CBC_SHA,true,[RFC4492],AECDH-AES128-SHA,SSLv3,ECDH,None,AES(128),SHA1,false
"0xC0,0x19",0xC0,0x19,TLS_ECDH_anon_WITH_AES_256_CBC_SHA,true,[RFC4492],AECDH-AES256-SHA,SSLv3,ECDH,None,AES(256),SHA1,false
